,Freq(Hz),NF(DB),NF(DEG),S21(DB),S21(DEG),S11(DB),S11(DEG),T-Eff(DB),T-Eff(DEG)
0,1000000000,6.0087428,0,9.5488272,171.28505,0.1180988,-10.905331,866.83728,0
1,1100000000,5.7862601,0,9.4669065,170.12079,0.038272157,-12.447762,809.06659,0
2,1200000000,5.6906738,0,9.4600649,169.29727,0.046225909,-13.6396,785.14093,0
3,1300000000,5.7179718,0,9.5065784,168.62195,0.11973321,-14.458649,791.91998,0
4,1400000000,5.5475507,0,9.4989901,167.77968,0.13520834,-15.398889,750.2868,0
5,1500000000,5.9410448,0,9.4716015,166.86653,0.11737118,-16.567808,848.94434,0
6,1600000000,5.5589676,0,9.4860802,165.97377,0.14399499,-17.737623,753.02515,0
7,1700000000,5.9550605,0,9.4729719,165.01695,0.15113071,-18.898382,852.62579,0
8,1800000000,5.69596,0,9.4013557,164.01651,0.096808635,-20.158773,786.45038,0
9,1900000000,5.6327453,0,9.3664398,163.173,0.076774284,-21.32172,770.89532,0
10,2000000000,5.9520564,0,9.3883572,162.39037,0.12050883,-22.30883,851.83582,0
11,2100000000,5.7276454,0,9.3683519,161.44289,0.11615273,-23.398262,794.33264,0
12,2200000000,5.6233339,0,9.2918339,160.43843,0.049479868,-24.708323,768.59882,0
13,2300000000,5.8848376,0,9.2592745,159.58316,0.027119152,-25.912846,834.29877,0
14,2400000000,5.6848378,0,9.2693787,158.80043,0.064083703,-26.918159,783.69708,0
15,2500000000,5.2243137,0,9.2452984,157.92838,0.073112719,-27.92787,675.67145,0
16,2600000000,5.9828768,0,9.2084818,157.07455,0.059471462,-29.010723,859.96777,0
17,2700000000,5.3374825,0,9.2136469,156.21715,0.085293427,-30.123699,701.16565,0
18,2800000000,5.1544323,0,9.2068682,155.27374,0.10740305,-31.229404,660.25732,0
19,2900000000,5.7043023,0,9.1343937,154.375,0.057332683,-32.332451,788.52002,0
20,3000000000,5.1491275,0,9.0534296,153.58272,-0.014950158,-33.452576,659.09735,0
21,3100000000,5.1959763,0,9.012886,152.80246,-0.037118156,-34.516998,669.39093,0
22,3200000000,5.4401965,0,8.9835644,151.95874,-0.036417019,-35.550602,724.8869,0
23,3300000000,4.5667739,0,8.922019,151.10164,-0.063746057,-36.618336,539.99481,0
24,3400000000,5.5388627,0,8.8768911,150.30154,-0.08569029,-37.696171,748.2077,0
25,3500000000,5.3382883,0,8.8555946,149.49988,-0.07930807,-38.744793,701.34961,0
26,3600000000,4.6372771,0,8.8131475,148.69279,-0.083811104,-39.74102,553.57898,0
27,3700000000,5.8128128,0,8.7535772,147.92798,-0.10875611,-40.726009,815.80682,0
28,3800000000,5.6034145,0,8.7242937,147.14948,-0.11528714,-41.793663,763.75458,0
29,3900000000,4.7133498,0,8.7061062,146.28029,-0.093123697,-42.880608,568.4856,0
30,4000000000,5.919281,0,8.6629086,145.42581,-0.094384305,-43.882759,843.25098,0
31,4100000000,5.0283384,0,8.5987835,144.68285,-0.13404927,-44.862194,633.06403,0
32,4200000000,6.7076168,0,8.5564146,143.98994,-0.16036421,-45.764801,1068.813,0
33,4300000000,6.1309695,0,8.5097122,143.2375,-0.1709816,-46.739708,899.85748,0
