!CSV A.01.01,,,,,,,,
!Keysight Technologies,N5247A,US51370532,A.10.64.03,,,,,
!Date: Wednesday, August 22, 2018 18:58:12,,,,,,
!Source: Standard,,,,,,,,
,,,,,,,,
BEGIN CH1_DATA,,,,,,,,
Freq(Hz),NF(DB),NF(DEG),S21(DB),S21(DEG),S11(DB),S11(DEG),T-Eff(DB),T-Eff(DEG)
1000000000,4.3717208,0,9.9261932,171.9731,0.12980187,-9.7517805,503.54227,0
1100000000,4.0726824,0,9.8443823,170.85973,0.048160821,-11.205075,450.74075,0
1200000000,3.9932132,0,9.8411026,170.11409,0.059561841,-12.284972,437.3096,0
1300000000,4.1102648,0,9.8942013,169.51669,0.13897076,-12.974585,457.17868,0
1400000000,3.9303656,0,9.8899622,168.71581,0.15718174,-13.800828,426.86029,0
1500000000,4.2014117,0,9.8666325,167.85362,0.13876919,-14.87126,473.0257,0
1600000000,3.9110954,0,9.8837385,167.03099,0.16662122,-15.938421,423.68661,0
1700000000,4.2257938,0,9.877862,166.13184,0.17703669,-16.99177,477.32153,0
1800000000,3.9883788,0,9.8083134,165.17387,0.12525174,-18.152344,436.50043,0
1900000000,3.9127462,0,9.7783461,164.38985,0.107235,-19.215801,423.95795,0
2000000000,4.1952839,0,9.8082094,163.67383,0.15267055,-20.094036,471.94989,0
2100000000,3.9993811,0,9.792058,162.76332,0.15114442,-21.086802,438.34329,0
2200000000,3.8588278,0,9.7186804,161.7986,0.08375176,-22.310284,415.1488,0
2300000000,4.1575546,0,9.6924219,161.00624,0.0635003,-23.427755,465.35907,0
2400000000,4.0407696,0,9.711133,160.28357,0.10611955,-24.323826,445.31757,0
2500000000,3.5607836,0,9.6914606,159.45091,0.11976945,-25.227783,368.37958,0
2600000000,4.195435,0,9.6610069,158.63719,0.10676402,-26.234589,471.97635,0
2700000000,3.6330857,0,9.6719494,157.84435,0.13442726,-27.249039,379.43219,0
2800000000,3.3717532,0,9.6735802,156.94627,0.16155227,-28.254078,340.33777,0
2900000000,3.9208868,0,9.608181,156.07037,0.11503675,-29.274593,425.29745,0
3000000000,3.4998927,0,9.5295954,155.30692,0.042499684,-30.320765,359.21307,0
3100000000,3.6449718,0,9.4976416,154.57181,0.021303799,-31.308542,381.26682,0
3200000000,3.7071974,0,9.4754477,153.76062,0.025318511,-32.258175,390.95395,0
3300000000,2.9795706,0,9.414753,152.93405,4.70E-05,-33.246857,285.91061,0
3400000000,3.8096461,0,9.3815861,152.16743,-0.019830704,-34.254852,407.20844,0
3500000000,3.6783435,0,9.3681192,151.40634,-0.010067175,-35.222523,386.44473,0
3600000000,3.0286846,0,9.328064,150.63174,-0.01060931,-36.13699,292.46045,0
3700000000,3.9729877,0,9.2790413,149.89386,-0.032986678,-37.053562,433.93033,0
3800000000,3.7617383,0,9.2563124,149.14883,-0.037001334,-38.041168,399.55963,0
3900000000,3.0406594,0,9.2448416,148.31584,-0.01080458,-39.053986,294.0687,0
4000000000,4.081388,0,9.211792,147.48514,-0.007165688,-39.991821,452.22705,0
4100000000,3.4481487,0,9.1520634,146.75665,-0.046017323,-40.904781,351.52396,0
4200000000,4.5696249,0,9.1241283,146.08076,-0.068490207,-41.761513,540.53979,0
4300000000,4.1581583,0,9.0818338,145.35805,-0.080034196,-42.665852,465.46414,0
4400000000,4.0201473,0,9.038044,144.61826,-0.084104925,-43.571266,441.83429,0
4500000000,3.4957011,0,8.9977798,143.82225,-0.099944673,-44.553864,358.58679,0
4600000000,5.2208805,0,8.9817162,143.08904,-0.097850978,-45.483253,674.90833,0
4700000000,2.6021447,0,8.946579,142.2883,-0.084393539,-46.432495,237.97391,0
4800000000,4.571815,0,8.9008589,141.57573,-0.091030367,-47.233387,540.9588,0
4900000000,4.0024533,0,8.8623047,140.86006,-0.11295723,-48.106075,438.85873,0
5000000000,3.2916236,0,8.8168983,140.13609,-0.13311988,-49.047245,328.8143,0
5100000000,4.4745464,0,8.7659044,139.35732,-0.14185761,-49.966118,522.55481,0
5200000000,3.803731,0,8.7109575,138.58508,-0.15800285,-50.853836,406.25943,0
5300000000,3.4596891,0,8.6638041,137.93045,-0.18715374,-51.680698,353.2309,0
5400000000,4.6647797,0,8.6236143,137.32573,-0.20189925,-52.459259,558.93805,0
5500000000,3.2626994,0,8.5636187,136.60052,-0.20558092,-53.284752,324.70667,0
5600000000,3.8707297,0,8.5127468,135.90695,-0.23478463,-54.109528,417.08395,0
5700000000,4.3232327,0,8.4613972,135.32037,-0.27368423,-54.963623,494.73178,0
5800000000,3.234581,0,8.3727627,134.64603,-0.28698978,-55.810093,320.73965,0
5900000000,4.8151484,0,8.2986746,133.94987,-0.30498046,-56.46619,588.84607,0
6000000000,3.205199,0,8.3065138,133.29478,-0.29743648,-57.378418,316.62161,0
6100000000,5.1140275,0,8.2717876,132.59238,-0.2952666,-58.506969,651.45752,0
6200000000,3.5332303,0,8.1916304,131.88809,-0.34579384,-59.174477,364.21582,0
6300000000,4.4108133,0,8.1487217,131.30727,-0.3590264,-59.81776,510.71753,0
6400000000,4.4646697,0,8.104517,130.76398,-0.38287172,-60.562305,520.70898,0
6500000000,3.0819137,0,8.0407734,130.15228,-0.40443146,-61.359203,299.64328,0
6600000000,4.8699355,0,7.9980335,129.51448,-0.40240625,-62.126125,600.00317,0
6700000000,3.1175046,0,7.9445534,128.825,-0.41004771,-62.896889,304.49539,0
6800000000,4.1131411,0,7.8959513,128.23486,-0.43989339,-63.661484,457.67368,0
6900000000,4.202527,0,7.842586,127.67831,-0.45090199,-64.425293,473.22171,0
7000000000,3.2696285,0,7.7772493,126.94675,-0.4540396,-65.208168,325.68826,0
7100000000,4.3885107,0,7.7364125,126.30432,-0.47437334,-65.919495,506.61606,0
7200000000,4.1519117,0,7.6811452,125.84453,-0.50790089,-66.605392,464.37827,0
7300000000,3.1620021,0,7.6106448,125.26556,-0.52107459,-67.351112,310.61783,0
7400000000,4.6267705,0,7.5699301,124.55424,-0.51476192,-68.118309,551.54047,0
7500000000,4.0386286,0,7.5285492,123.92951,-0.52329618,-68.879707,444.95517,0
7600000000,3.7708683,0,7.4655094,123.38194,-0.54691178,-69.587921,401.01074,0
7700000000,4.4224806,0,7.4105453,122.76582,-0.55499089,-70.323975,512.87152,0
7800000000,3.7183058,0,7.3549709,122.15121,-0.56696838,-70.989281,392.69788,0
7900000000,4.1404438,0,7.3026047,121.63271,-0.59099972,-71.650009,462.38892,0
8000000000,3.6642723,0,7.2516956,121.14763,-0.60348392,-72.313087,384.25665,0
8100000000,3.1097662,0,7.1869335,120.45875,-0.606453,-73.067673,303.43704,0
8200000000,4.8675075,0,7.1472912,119.79992,-0.61641568,-73.780174,599.50568,0
8300000000,3.6575527,0,7.0900149,119.36344,-0.64839768,-74.36998,383.21417,0
8400000000,3.6108353,0,7.0182142,118.93147,-0.67685086,-74.973633,376.01117,0
8500000000,4.4684596,0,6.975842,118.33889,-0.67668712,-75.640137,521.41669,0
8600000000,3.1602166,0,6.9225039,117.78033,-0.69256866,-76.297462,310.37091,0
8700000000,2.6461067,0,6.8604321,117.28409,-0.71106577,-76.958923,243.34554,0
8800000000,3.6087482,0,6.800642,116.70815,-0.71897328,-77.641312,375.69119,0
8900000000,3.2407687,0,6.7403989,116.10234,-0.72784346,-78.258743,321.61041,0
9000000000,2.9254503,0,6.691134,115.64562,-0.75296146,-78.814278,278.77832,0
9100000000,3.3534691,0,6.6369243,115.26264,-0.77402228,-79.358749,337.68961,0
9200000000,3.2753632,0,6.5715122,114.68655,-0.78307593,-79.986252,326.50171,0
9300000000,3.6758223,0,6.5268269,114.05132,-0.78744811,-80.695206,386.05215,0
9400000000,2.8634055,0,6.4679165,113.63142,-0.80353057,-81.281021,270.71033,0
9500000000,4.5570836,0,6.3703246,113.30563,-0.90551746,-81.921455,538.14496,0
9600000000,4.4165139,0,6.3484664,112.67586,-0.8441698,-82.393974,511.76929,0
9700000000,4.3810811,0,6.2989192,112.20228,-0.85058594,-82.954659,505.25439,0
9800000000,4.1335979,0,6.2351627,111.7402,-0.8735134,-83.566582,461.2038,0
9900000000,4.4763741,0,6.1802664,111.21181,-0.87815124,-84.218094,522.89679,0
10000000000,3.7061412,0,6.1102972,110.58497,-0.88567823,-84.847328,390.78836,0
10100000000,4.659472,0,6.0501599,110.04688,-0.92733741,-85.523796,557.90112,0
10200000000,5.0291033,0,6.0212235,109.7307,-0.92205507,-85.865311,633.22662,0
10300000000,4.0112147,0,5.9530697,109.29766,-0.93793458,-86.377228,440.3306,0
10400000000,5.8402157,0,5.9017086,108.76976,-0.94272232,-86.925163,822.80627,0
10500000000,4.022563,0,5.8582301,108.27943,-0.94983298,-87.5737,442.24142,0
10600000000,5.309989,0,5.7808461,107.85452,-0.98591304,-88.084175,694.91083,0
10700000000,5.8889141,0,5.7230916,107.35633,-0.99775034,-88.588898,835.35468,0
10800000000,3.3092561,0,5.6646037,106.91204,-1.009317,-89.104141,331.33182,0
10900000000,5.6731987,0,5.6196046,106.58101,-1.0255231,-89.556725,780.82349,0
11000000000,5.9861736,0,5.5708299,106.18898,-1.0274936,-90.012001,860.84113,0
11100000000,3.5031893,0,5.4889183,105.64424,-1.0464343,-90.574394,359.70609,0
11200000000,6.1015854,0,5.4360805,105.12643,-1.0656427,-91.131523,891.83417,0
11300000000,4.7566104,0,5.3951011,104.78821,-1.0742561,-91.554756,577.07977,0
11400000000,4.0746355,0,5.3286972,104.43118,-1.0887676,-92.009583,451.07394,0
11500000000,6.6795115,0,5.2715921,103.86755,-1.0955056,-92.693497,1060.0477,0
11600000000,3.7148054,0,5.2410522,103.58647,-1.0834314,-92.948494,392.14792,0
