!CSV A.01.01
!Keysight Technologies,N5247A,US51370532,A.10.64.03
!Date: Wednesday, August 22, 2018 18:57:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),NF(DB),NF(DEG),S21(DB),S21(DEG),S11(DB),S11(DEG),T-Eff(DB),T-Eff(DEG)
1000000000,6.1637921,0,6.7752948,170.47726,0.11181088,-12.189207,908.88416,0
1100000000,5.8900828,0,6.6880102,169.25864,0.029696077,-13.854664,835.65747,0
1200000000,5.829535,0,6.6804857,168.37367,0.037002616,-15.163295,820.07288,0
1300000000,5.8753819,0,6.7191691,167.61211,0.1100692,-16.110401,831.85364,0
1400000000,5.736093,0,6.7108917,166.73373,0.12357312,-17.173784,796.44385,0
1500000000,5.9801774,0,6.6879554,165.7567,0.10385977,-18.465939,859.25317,0
1600000000,5.7223568,0,6.6968789,164.75185,0.12834567,-19.756958,793.013,0
1700000000,6.0738978,0,6.6780925,163.74718,0.13324915,-21.038465,884.32355,0
1800000000,5.8928952,0,6.6064072,162.71193,0.07608518,-22.406721,836.38672,0
1900000000,5.7954049,0,6.5699692,161.78099,0.053688686,-23.68132,811.38324,0
2000000000,6.0698299,0,6.5817733,160.92461,0.094895661,-24.788937,883.22412,0
2100000000,5.8848934,0,6.5593915,159.92793,0.08817707,-25.994976,834.31329,0
2200000000,5.8167624,0,6.4778647,158.89304,0.018403294,-27.399023,816.81299,0
2300000000,6.1515918,0,6.44173,157.9599,-0.0058539212,-28.712282,905.52094,0
2400000000,7.5162721,0,6.4350452,157.1171,0.028918892,-29.822567,1346.9114,0
2500000000,5.4222574,0,6.4090428,156.19925,0.035443425,-30.936646,720.70343,0
2600000000,6.1939702,0,6.3729253,155.29146,0.017757,-32.12875,917.24384,0
2700000000,5.5355196,0,6.3646584,154.35588,0.04075766,-33.34613,747.40887,0
2800000000,5.3475513,0,6.3446298,153.35829,0.059378393,-34.545998,703.46625,0
2900000000,5.9757018,0,6.275331,152.44426,0.0064569507,-35.746086,858.06952,0
3000000000,5.3376436,0,6.1870766,151.61263,-0.068090849,-36.948334,701.20245,0
3100000000,5.5017443,0,6.1341715,150.77153,-0.092219733,-38.097748,739.37213,0
3200000000,5.6580572,0,6.1064463,149.9135,-0.093762524,-39.231293,777.09656,0
3300000000,4.8517647,0,6.033093,148.99583,-0.12422454,-40.372227,596.28723,0
3400000000,5.7882752,0,5.9897165,148.16708,-0.14887144,-41.538265,809.57672,0
3500000000,5.5638752,0,5.9560151,147.34183,-0.14483984,-42.668274,754.20447,0
3600000000,4.9868913,0,5.9130559,146.47977,-0.15315142,-43.748569,624.29663,0
3700000000,5.9539971,0,5.8501453,145.66818,-0.18025802,-44.809212,852.34613,0
3800000000,5.8382139,0,5.816906,144.84857,-0.18889065,-45.953323,822.29346,0
3900000000,4.9188967,0,5.7825727,143.94203,-0.17127544,-47.116444,610.09357,0
4000000000,6.1562309,0,5.7437735,143.03949,-0.17527053,-48.204304,906.79871,0
4100000000,5.3563671,0,5.6692505,142.27846,-0.21762984,-49.243896,705.48492,0
4200000000,6.9517379,0,5.6321588,141.52171,-0.24588451,-50.232029,1147.3806,0
4300000000,6.3127155,0,5.5764985,140.75902,-0.26018831,-51.261189,950.70789,0
4400000000,6.0704145,0,5.5182033,139.97186,-0.27160573,-52.313297,883.38196,0
4500000000,5.6056595,0,5.464294,139.12476,-0.29209787,-53.407387,764.29932,0
4600000000,7.5225453,0,5.4313836,138.31921,-0.29556707,-54.461536,1349.2777,0
4700000000,4.5045552,0,5.3825626,137.47504,-0.29213008,-55.529552,528.18878,0
4800000000,6.6752133,0,5.3274617,136.71935,-0.30507171,-56.447578,1058.7123,0
4900000000,6.0227137,0,5.2652745,135.97513,-0.33090478,-57.432541,870.56476,0
5000000000,5.5229301,0,5.203352,135.22505,-0.35445541,-58.470608,744.40601,0
