!CSV A.01.01
!Keysight Technologies,N5247A,US51370532,A.10.64.03
!Date: Wednesday, August 22, 2018 19:01:38
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),NF(DB),NF(DEG),S21(DB),S21(DEG),S11(DB),S11(DEG),T-Eff(DB),T-Eff(DEG)
1000000000,8.4257708,0,0.90204775,176.63618,0.15617321,-2.7332363,1728.2507,0
1100000000,8.0438137,0,0.82831597,175.93115,0.076998234,-3.5513806,1558.3293,0
1200000000,7.8985386,0,0.83419138,175.66209,0.090236194,-3.9524701,1497.5239,0
1300000000,8.0495234,0,0.89643478,175.57835,0.17472365,-3.9088333,1560.761,0
1400000000,7.7779126,0,0.90071952,175.2382,0.20038861,-4.0253425,1448.5582,0
1500000000,8.0770502,0,0.8906846,174.82098,0.18655699,-4.4197083,1572.5291,0
1600000000,7.8234272,0,0.92081416,174.48947,0.21849991,-4.789536,1466.8744,0
1700000000,8.251193,0,0.93092197,174.05524,0.2395262,-5.1584048,1648.7301,0
1800000000,7.8702188,0,0.87752199,173.5038,0.19718678,-5.6696515,1485.9056,0
1900000000,7.6583524,0,0.8612085,173.16312,0.18355809,-6.0815911,1401.349,0
2000000000,8.0899124,0,0.90736032,172.94719,0.23458494,-6.2513561,1578.053,0
2100000000,7.6233778,0,0.90947515,172.4884,0.24329463,-6.5666847,1387.783,0
2200000000,7.4843965,0,0.85595244,171.905,0.18460384,-7.1860166,1334.9412,0
2300000000,8.0694914,0,0.84938413,171.55508,0.16949342,-7.6708522,1569.2902,0
2400000000,7.8957882,0,0.88526464,171.33466,0.21843709,-7.8723807,1496.3922,0
2500000000,6.9477005,0,0.88517427,170.94893,0.24483977,-8.1149235,1146.045,0
2600000000,8.01719,0,0.87743545,170.57021,0.24112152,-8.4629745,1547.0333,0
2700000000,7.3269539,0,0.91215885,170.27481,0.27753565,-8.7993641,1277.088,0
2800000000,6.8330302,0,0.93636739,169.85275,0.32238269,-9.1318216,1108.6241,0
2900000000,7.6163831,0,0.90015531,169.35106,0.29144374,-9.5372591,1385.0829,0
3000000000,7.0739875,0,0.84468573,168.92099,0.22370413,-10.032538,1188.4163,0
3100000000,6.897459,0,0.83318335,168.59776,0.20758653,-10.425011,1129.5277,0
3200000000,7.4936018,0,0.83975047,168.21693,0.22140799,-10.74647,1338.389,0
3300000000,6.2147193,0,0.80171955,167.77202,0.20742904,-11.160443,923.02557,0
3400000000,6.9501648,0,0.79621154,167.40315,0.19452354,-11.57515,1146.8601,0
3500000000,7.1036744,0,0.81303459,167.09065,0.21537741,-11.92345,1198.5568,0
3600000000,5.7541022,0,0.79612476,166.72839,0.228946,-12.239971,800.9585,0
3700000000,7.0034451,0,0.77744973,166.35963,0.21678396,-12.579383,1164.5963,0
3800000000,7.2756057,0,0.78603345,166.03499,0.2204197,-12.981083,1258.6688,0
3900000000,5.4314957,0,0.80437386,165.67032,0.26340246,-13.37097,722.85565,0
4000000000,7.4677119,0,0.81201249,165.25067,0.2863473,-13.69948,1328.7104,0
4100000000,6.8902946,0,0.78161615,164.85774,0.25955546,-14.09059,1127.188,0
4200000000,7.8101926,0,0.78699476,164.54578,0.24764276,-14.422178,1461.5286,0
4300000000,6.9607258,0,0.77334571,164.22136,0.24271125,-14.749211,1150.3584,0
4400000000,7.4982276,0,0.76464242,163.86511,0.2494099,-15.084589,1340.1245,0
4500000000,6.1689472,0,0.75716025,163.43567,0.25218201,-15.551863,910.30811,0
4600000000,9.1897049,0,0.78672522,163.12801,0.26802492,-15.872789,2116.4038,0
4700000000,4.6728115,0,0.78460288,162.71744,0.29933125,-16.287569,560.50946,0
4800000000,7.4922895,0,0.77912974,162.37218,0.31007794,-16.546101,1337.897,0
4900000000,7.309866,0,0.77784246,162.01782,0.30225286,-16.876524,1270.9342,0
5000000000,5.6697845,0,0.76529735,161.63066,0.29454616,-17.330063,779.98199,0
5100000000,7.6554151,0,0.76107454,161.18663,0.30434209,-17.737509,1400.2054,0
5200000000,7.1003265,0,0.74956983,160.73715,0.30739582,-18.138187,1197.4098,0
5300000000,5.6974168,0,0.72951311,160.39781,0.29011762,-18.494061,786.81146,0
5400000000,7.7147713,0,0.73223782,160.13263,0.28281245,-18.763912,1423.4646,0
5500000000,6.2857814,0,0.70951712,159.72664,0.29440233,-19.116224,943.03705,0
5600000000,6.3586087,0,0.69251084,159.3324,0.28291115,-19.469469,963.88824,0
5700000000,7.6893873,0,0.6831044,159.05478,0.24757557,-19.825047,1413.4788,0
5800000000,6.3061991,0,0.61826175,158.63887,0.24115296,-20.336031,948.84766,0
5900000000,7.6018677,0,0.5528965,158.24857,0.25861272,-20.510979,1379.4935,0
6000000000,6.9318271,0,0.65722716,157.97063,0.26791039,-20.841295,1140.8059,0
6100000000,7.5080152,0,0.67096311,157.43706,0.27011693,-21.909788,1343.8022,0
6200000000,6.5604138,0,0.62839586,157.03671,0.24709518,-22.02079,1023.5282,0
6300000000,6.375627,0,0.61737823,156.77025,0.24912335,-22.109825,968.8114,0
6400000000,7.693027,0,0.6139515,156.52823,0.22280179,-22.388075,1414.9071,0
6500000000,4.8880939,0,0.57585168,156.13745,0.21118966,-22.855297,603.73212,0
6600000000,7.3356857,0,0.58512402,155.81847,0.22656155,-23.155577,1280.2419,0
6700000000,6.0767789,0,0.57849067,155.40216,0.23752081,-23.534943,885.10278,0
6800000000,5.907299,0,0.56485146,155.05301,0.22052629,-23.910698,840.12866,0
6900000000,7.0962648,0,0.55841619,154.77849,0.21128729,-24.248192,1196.0194,0
7000000000,5.6646223,0,0.53666484,154.26596,0.23146899,-24.727373,778.71082,0
7100000000,6.4751596,0,0.54319143,153.89223,0.23454434,-25.018803,997.99438,0
7200000000,6.9989786,0,0.52574784,153.6619,0.19431376,-25.30287,1163.1013,0
7300000000,4.4366655,0,0.48193973,153.25533,0.1816573,-25.794788,515.49817,0
7400000000,6.8579307,0,0.50020552,152.85384,0.21469794,-26.138906,1116.6661,0
7500000000,6.9230409,0,0.51087534,152.51045,0.22635189,-26.488178,1137.9142,0
7600000000,5.7188201,0,0.48304632,152.14325,0.21023642,-26.911165,792.13141,0
7700000000,6.8220177,0,0.47776547,151.76056,0.2149041,-27.265223,1105.082,0
7800000000,6.4287066,0,0.47164038,151.37856,0.22082254,-27.602808,984.2912,0
